decimalLatitude,decimalLongitude,species,speciesKey,occurrenceStatus,geometry
-33.836913,150.646106,Litoria peronii,2427831.0,1,POINT (150.646106 -33.836913)
-33.837677,150.628409,Litoria fallax,2427671.0,1,POINT (150.628409 -33.837677)
-33.7271,150.699,Litoria fallax,2427671.0,1,POINT (150.699 -33.7271)
-33.836242,150.638081,Litoria tyleri,2427823.0,1,POINT (150.638081 -33.836242)
-33.7595,150.733,Limnodynastes peronii,2429583.0,1,POINT (150.733 -33.7595)
-33.686202,150.534275,Uperoleia laevigata,2424630.0,1,POINT (150.534275 -33.686202)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.836852,150.645719,Litoria latopalmata,2427754.0,1,POINT (150.645719 -33.836852)
-33.837016,150.645244,Litoria peronii,2427831.0,1,POINT (150.645244 -33.837016)
-33.7589,150.662,Litoria dentata,2427847.0,1,POINT (150.662 -33.7589)
-33.836151,150.637043,Litoria peronii,2427831.0,1,POINT (150.637043 -33.836151)
-33.532449,150.738998,Litoria dentata,2427847.0,1,POINT (150.738998 -33.532449)
-33.561596,150.81973,Limnodynastes peronii,2429583.0,1,POINT (150.81973 -33.561596)
-33.836761,150.64647,Litoria fallax,2427671.0,1,POINT (150.64647 -33.836761)
-33.715485,150.607231,Pseudophryne australis,2424579.0,1,POINT (150.607231 -33.715485)
-33.750366,150.858785,Limnodynastes peronii,2429583.0,1,POINT (150.858785 -33.750366)
-33.836805,150.645398,Litoria peronii,2427831.0,1,POINT (150.645398 -33.836805)
-33.686208,150.534465,Litoria peronii,2427831.0,1,POINT (150.534465 -33.686208)
-33.72415,150.459012,Limnodynastes peronii,2429583.0,1,POINT (150.459012 -33.72415)
-33.7154,150.43,Crinia signifera,2424585.0,1,POINT (150.43 -33.7154)
-33.7311,150.715,Litoria dentata,2427847.0,1,POINT (150.715 -33.7311)
-33.737818,150.624374,Litoria peronii,2427831.0,1,POINT (150.624374 -33.737818)
-33.751587,150.646484,Limnodynastes peronii,2429583.0,1,POINT (150.646484 -33.751587)
-33.6955,150.555,Limnodynastes peronii,2429583.0,1,POINT (150.555 -33.6955)
-33.730142,150.472202,Limnodynastes peronii,2429583.0,1,POINT (150.472202 -33.730142)
-33.608673,150.7414,Litoria dentata,2427847.0,1,POINT (150.7414 -33.608673)
-33.836913,150.646106,Litoria fallax,2427671.0,1,POINT (150.646106 -33.836913)
-33.836823,150.647593,Litoria peronii,2427831.0,1,POINT (150.647593 -33.836823)
-33.836852,150.645719,Litoria peronii,2427831.0,1,POINT (150.645719 -33.836852)
-33.719237,150.419885,Limnodynastes peronii,2429583.0,1,POINT (150.419885 -33.719237)
-33.836794,150.645427,Litoria peronii,2427831.0,1,POINT (150.645427 -33.836794)
-33.836092,150.639774,Litoria peronii,2427831.0,1,POINT (150.639774 -33.836092)
-33.7588,150.662,Litoria dentata,2427847.0,1,POINT (150.662 -33.7588)
-33.6883,150.552,Limnodynastes peronii,2429583.0,1,POINT (150.552 -33.6883)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.836805,150.645398,Litoria fallax,2427671.0,1,POINT (150.645398 -33.836805)
-33.500513,150.732802,Litoria dentata,2427847.0,1,POINT (150.732802 -33.500513)
-33.7271,150.699,Litoria fallax,2427671.0,1,POINT (150.699 -33.7271)
-33.7271,150.699,Litoria peronii,2427831.0,1,POINT (150.699 -33.7271)
-33.7082,150.614,Litoria latopalmata,2427754.0,1,POINT (150.614 -33.7082)
-33.743551,150.62544,Litoria peronii,2427831.0,1,POINT (150.62544 -33.743551)
-33.7082,150.614,Crinia signifera,2424585.0,1,POINT (150.614 -33.7082)
-33.6878,150.551,Limnodynastes peronii,2429583.0,1,POINT (150.551 -33.6878)
-33.836761,150.64647,Litoria peronii,2427831.0,1,POINT (150.64647 -33.836761)
-33.836242,150.638081,Litoria fallax,2427671.0,1,POINT (150.638081 -33.836242)
-33.772247,150.666554,Litoria dentata,2427847.0,1,POINT (150.666554 -33.772247)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.7154,150.43,Limnodynastes peronii,2429583.0,1,POINT (150.43 -33.7154)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.686202,150.534275,Crinia signifera,2424585.0,1,POINT (150.534275 -33.686202)
-33.837016,150.645244,Litoria fallax,2427671.0,1,POINT (150.645244 -33.837016)
-33.686208,150.534465,Crinia signifera,2424585.0,1,POINT (150.534465 -33.686208)
-33.715485,150.607207,Pseudophryne australis,2424579.0,1,POINT (150.607207 -33.715485)
-33.719237,150.419885,Litoria peronii,2427831.0,1,POINT (150.419885 -33.719237)
-33.686208,150.534465,Uperoleia laevigata,2424630.0,1,POINT (150.534465 -33.686208)
-33.836242,150.638081,Litoria tyleri,2427823.0,1,POINT (150.638081 -33.836242)
-33.532377,150.739073,Litoria dentata,2427847.0,1,POINT (150.739073 -33.532377)
-33.836913,150.646106,Litoria peronii,2427831.0,1,POINT (150.646106 -33.836913)
-33.719237,150.419885,Litoria dentata,2427847.0,1,POINT (150.419885 -33.719237)
-33.695343,150.552483,Crinia signifera,2424585.0,1,POINT (150.552483 -33.695343)
-33.6873,150.55,Limnodynastes peronii,2429583.0,1,POINT (150.55 -33.6873)
-33.837677,150.628409,Litoria latopalmata,2427754.0,1,POINT (150.628409 -33.837677)
-33.743551,150.62544,Limnodynastes peronii,2429583.0,1,POINT (150.62544 -33.743551)
-33.836092,150.639774,Litoria tyleri,2427823.0,1,POINT (150.639774 -33.836092)
-33.774077,150.826403,Ranoidea caerulea,10842219.0,1,POINT (150.826403 -33.774077)
-33.532449,150.738998,Litoria peronii,2427831.0,1,POINT (150.738998 -33.532449)
-33.686202,150.534275,Litoria peronii,2427831.0,1,POINT (150.534275 -33.686202)
-33.687346,150.492411,Pseudophryne australis,2424579.0,1,POINT (150.492411 -33.687346)
-33.7083,150.614,Litoria latopalmata,2427754.0,1,POINT (150.614 -33.7083)
-33.6799,150.754,Litoria dentata,2427847.0,1,POINT (150.754 -33.6799)
-33.837677,150.628409,Litoria fallax,2427671.0,1,POINT (150.628409 -33.837677)
-33.7311,150.715,Litoria peronii,2427831.0,1,POINT (150.715 -33.7311)
-33.7704,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7704)
-33.6873,150.55,Limnodynastes peronii,2429583.0,1,POINT (150.55 -33.6873)
-33.61,150.808,Litoria fallax,2427671.0,1,POINT (150.808 -33.61)
-33.751587,150.646484,Litoria peronii,2427831.0,1,POINT (150.646484 -33.751587)
-33.836913,150.646106,Litoria latopalmata,2427754.0,1,POINT (150.646106 -33.836913)
-33.7271,150.699,Limnodynastes peronii,2429583.0,1,POINT (150.699 -33.7271)
-33.836242,150.638081,Litoria peronii,2427831.0,1,POINT (150.638081 -33.836242)
-33.684929,150.582077,Litoria peronii,2427831.0,1,POINT (150.582077 -33.684929)
-33.7,150.6,Limnodynastes peronii,2429583.0,1,POINT (150.6 -33.7)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.772095,150.666819,Litoria dentata,2427847.0,1,POINT (150.666819 -33.772095)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.692078,150.532656,Limnodynastes peronii,2429583.0,1,POINT (150.532656 -33.692078)
-33.9173,150.878,Limnodynastes peronii,2429583.0,1,POINT (150.878 -33.9173)
-33.6838,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6838)
-33.7358,150.715,Limnodynastes peronii,2429583.0,1,POINT (150.715 -33.7358)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.690887,150.579719,Litoria fallax,2427671.0,1,POINT (150.579719 -33.690887)
-33.6869,150.549,Limnodynastes peronii,2429583.0,1,POINT (150.549 -33.6869)
-33.691168,150.580716,Litoria fallax,2427671.0,1,POINT (150.580716 -33.691168)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.769016,150.650595,Limnodynastes peronii,2429583.0,1,POINT (150.650595 -33.769016)
-33.746765,150.861881,Limnodynastes peronii,2429583.0,1,POINT (150.861881 -33.746765)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.762517,150.618948,Litoria peronii,2427831.0,1,POINT (150.618948 -33.762517)
-33.6756,150.547,Pseudophryne australis,2424579.0,1,POINT (150.547 -33.6756)
-33.6873,150.55,Crinia signifera,2424585.0,1,POINT (150.55 -33.6873)
-33.719571,150.567008,Limnodynastes peronii,2429583.0,1,POINT (150.567008 -33.719571)
-33.6758,150.547,Pseudophryne australis,2424579.0,1,POINT (150.547 -33.6758)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.7257,150.491,Limnodynastes peronii,2429583.0,1,POINT (150.491 -33.7257)
-33.9172,150.878,Limnodynastes peronii,2429583.0,1,POINT (150.878 -33.9172)
-33.7554,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7554)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.762444,150.619038,Litoria peronii,2427831.0,1,POINT (150.619038 -33.762444)
-33.7023,150.531,Limnodynastes peronii,2429583.0,1,POINT (150.531 -33.7023)
-33.762583,150.619036,Litoria peronii,2427831.0,1,POINT (150.619036 -33.762583)
-33.7258,150.491,Limnodynastes peronii,2429583.0,1,POINT (150.491 -33.7258)
-33.86771,150.68807,Limnodynastes tasmaniensis,2429578.0,1,POINT (150.68807 -33.86771)
-33.86771,150.68807,Ranoidea aurea,10595763.0,1,POINT (150.68807 -33.86771)
-33.7592,150.75265,Ranoidea caerulea,10842219.0,1,POINT (150.75265 -33.7592)
-33.86771,150.68807,Litoria fallax,2427671.0,1,POINT (150.68807 -33.86771)
-33.86771,150.68807,Crinia signifera,2424585.0,1,POINT (150.68807 -33.86771)
-33.86771,150.68807,Limnodynastes peronii,2429583.0,1,POINT (150.68807 -33.86771)
-33.86771,150.68807,Litoria peronii,2427831.0,1,POINT (150.68807 -33.86771)
-33.684083,150.893242,Litoria fallax,2427671.0,1,POINT (150.893242 -33.684083)
-33.698596,150.598789,Heleioporus australiacus,2429591.0,1,POINT (150.598789 -33.698596)
-33.684083,150.893242,Crinia signifera,2424585.0,1,POINT (150.893242 -33.684083)
-33.6756,150.547,Crinia signifera,2424585.0,1,POINT (150.547 -33.6756)
-33.719571,150.567008,Crinia signifera,2424585.0,1,POINT (150.567008 -33.719571)
-33.762517,150.618948,Litoria peronii,2427831.0,1,POINT (150.618948 -33.762517)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.6756,150.547,Crinia signifera,2424585.0,1,POINT (150.547 -33.6756)
-33.719571,150.567008,Crinia signifera,2424585.0,1,POINT (150.567008 -33.719571)
-33.691168,150.580716,Litoria fallax,2427671.0,1,POINT (150.580716 -33.691168)
-33.692078,150.532656,Limnodynastes peronii,2429583.0,1,POINT (150.532656 -33.692078)
-33.7023,150.531,Limnodynastes peronii,2429583.0,1,POINT (150.531 -33.7023)
-33.719571,150.567008,Limnodynastes peronii,2429583.0,1,POINT (150.567008 -33.719571)
-33.769016,150.650595,Limnodynastes peronii,2429583.0,1,POINT (150.650595 -33.769016)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.772095,150.666819,Litoria dentata,2427847.0,1,POINT (150.666819 -33.772095)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.6756,150.547,Pseudophryne australis,2424579.0,1,POINT (150.547 -33.6756)
-33.9173,150.878,Limnodynastes peronii,2429583.0,1,POINT (150.878 -33.9173)
-33.7257,150.491,Limnodynastes peronii,2429583.0,1,POINT (150.491 -33.7257)
-33.7258,150.491,Limnodynastes peronii,2429583.0,1,POINT (150.491 -33.7258)
-33.9172,150.878,Limnodynastes peronii,2429583.0,1,POINT (150.878 -33.9172)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.7554,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7554)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.6869,150.549,Limnodynastes peronii,2429583.0,1,POINT (150.549 -33.6869)
-33.6838,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6838)
-33.6873,150.55,Crinia signifera,2424585.0,1,POINT (150.55 -33.6873)
-33.762583,150.619036,Litoria peronii,2427831.0,1,POINT (150.619036 -33.762583)
-33.755,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.755)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.6758,150.547,Pseudophryne australis,2424579.0,1,POINT (150.547 -33.6758)
-33.746765,150.861881,Limnodynastes peronii,2429583.0,1,POINT (150.861881 -33.746765)
-33.7552,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7552)
-33.7358,150.715,Limnodynastes peronii,2429583.0,1,POINT (150.715 -33.7358)
-33.762444,150.619038,Litoria peronii,2427831.0,1,POINT (150.619038 -33.762444)
-33.690887,150.579719,Litoria fallax,2427671.0,1,POINT (150.579719 -33.690887)
-33.6,150.7,Litoria dentata,2427847.0,1,POINT (150.7 -33.6)
-33.7,150.4,Litoria peronii,2427831.0,1,POINT (150.4 -33.7)
-33.7,150.8,Platyplectrum ornatum,2429573.0,1,POINT (150.8 -33.7)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.755397,150.623391,Limnodynastes peronii,2429583.0,1,POINT (150.623391 -33.755397)
-33.842278,150.607832,Limnodynastes peronii,2429583.0,1,POINT (150.607832 -33.842278)
-33.726073,150.460245,Limnodynastes peronii,2429583.0,1,POINT (150.460245 -33.726073)
-33.524433,150.624232,Limnodynastes peronii,2429583.0,1,POINT (150.624232 -33.524433)
-33.9801,150.839,Crinia signifera,2424585.0,1,POINT (150.839 -33.9801)
-33.539273,150.422321,Limnodynastes peronii,2429583.0,1,POINT (150.422321 -33.539273)
-33.726282,150.460713,Limnodynastes peronii,2429583.0,1,POINT (150.460713 -33.726282)
-33.74819,150.865435,Limnodynastes peronii,2429583.0,1,POINT (150.865435 -33.74819)
-33.524299,150.624275,Limnodynastes peronii,2429583.0,1,POINT (150.624275 -33.524299)
-33.7388,150.47,Litoria verreauxii,2427755.0,1,POINT (150.47 -33.7388)
-33.750298,150.464127,Crinia signifera,2424585.0,1,POINT (150.464127 -33.750298)
-33.524322,150.624328,Crinia signifera,2424585.0,1,POINT (150.624328 -33.524322)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.747345,150.861349,Crinia signifera,2424585.0,1,POINT (150.861349 -33.747345)
-33.7553,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7553)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.755487,150.62342,Limnodynastes peronii,2429583.0,1,POINT (150.62342 -33.755487)
-33.725967,150.460311,Limnodynastes peronii,2429583.0,1,POINT (150.460311 -33.725967)
-33.842383,150.607924,Limnodynastes peronii,2429583.0,1,POINT (150.607924 -33.842383)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.7549,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7549)
-33.755402,150.623497,Limnodynastes peronii,2429583.0,1,POINT (150.623497 -33.755402)
-33.757446,150.622532,Limnodynastes peronii,2429583.0,1,POINT (150.622532 -33.757446)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.526489,150.705633,Limnodynastes peronii,2429583.0,1,POINT (150.705633 -33.526489)
-33.755432,150.623464,Limnodynastes peronii,2429583.0,1,POINT (150.623464 -33.755432)
-33.790407,150.687383,Limnodynastes peronii,2429583.0,1,POINT (150.687383 -33.790407)
-33.608338,150.89028,Crinia signifera,2424585.0,1,POINT (150.89028 -33.608338)
-33.746759,150.861784,Limnodynastes peronii,2429583.0,1,POINT (150.861784 -33.746759)
-33.751739,150.679585,Limnodynastes peronii,2429583.0,1,POINT (150.679585 -33.751739)
-33.524305,150.624252,Limnodynastes peronii,2429583.0,1,POINT (150.624252 -33.524305)
-33.7703,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7703)
-33.7518,150.653,Limnodynastes peronii,2429583.0,1,POINT (150.653 -33.7518)
-33.75771,150.622316,Crinia signifera,2424585.0,1,POINT (150.622316 -33.75771)
-33.5642,150.674,Limnodynastes peronii,2429583.0,1,POINT (150.674 -33.5642)
-33.72595,150.460325,Limnodynastes peronii,2429583.0,1,POINT (150.460325 -33.72595)
-33.743408,150.861061,Crinia signifera,2424585.0,1,POINT (150.861061 -33.743408)
-33.7703,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7703)
-33.773753,150.826413,Limnodynastes peronii,2429583.0,1,POINT (150.826413 -33.773753)
-33.7553,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7553)
-33.983368,150.886425,Litoria peronii,2427831.0,1,POINT (150.886425 -33.983368)
-33.7698,150.694,Limnodynastes peronii,2429583.0,1,POINT (150.694 -33.7698)
-33.7331,150.633,Crinia signifera,2424585.0,1,POINT (150.633 -33.7331)
-33.743561,150.860466,Crinia signifera,2424585.0,1,POINT (150.860466 -33.743561)
-33.7553,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7553)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.755506,150.623433,Limnodynastes peronii,2429583.0,1,POINT (150.623433 -33.755506)
-33.7703,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7703)
-33.695384,150.552416,Crinia signifera,2424585.0,1,POINT (150.552416 -33.695384)
-33.747314,150.862256,Crinia signifera,2424585.0,1,POINT (150.862256 -33.747314)
-33.524414,150.624283,Limnodynastes peronii,2429583.0,1,POINT (150.624283 -33.524414)
-33.7269,150.699,Limnodynastes peronii,2429583.0,1,POINT (150.699 -33.7269)
-33.743866,150.861559,Crinia signifera,2424585.0,1,POINT (150.861559 -33.743866)
-33.7586,150.852,Crinia signifera,2424585.0,1,POINT (150.852 -33.7586)
-33.7905,150.875,Limnodynastes peronii,2429583.0,1,POINT (150.875 -33.7905)
-33.7553,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7553)
-33.726119,150.460259,Limnodynastes peronii,2429583.0,1,POINT (150.460259 -33.726119)
-33.52434,150.623758,Crinia signifera,2424585.0,1,POINT (150.623758 -33.52434)
-33.524304,150.624322,Limnodynastes peronii,2429583.0,1,POINT (150.624322 -33.524304)
-33.524468,150.624164,Limnodynastes peronii,2429583.0,1,POINT (150.624164 -33.524468)
-33.524231,150.624044,Crinia signifera,2424585.0,1,POINT (150.624044 -33.524231)
-33.524308,150.623755,Crinia signifera,2424585.0,1,POINT (150.623755 -33.524308)
-33.524246,150.624341,Crinia signifera,2424585.0,1,POINT (150.624341 -33.524246)
-33.677646,150.753069,Platyplectrum ornatum,2429573.0,1,POINT (150.753069 -33.677646)
-33.54508,150.84594,Ranoidea caerulea,10842219.0,1,POINT (150.84594 -33.54508)
-33.702543,150.879391,Crinia signifera,2424585.0,1,POINT (150.879391 -33.702543)
-33.72843,150.88902,Ranoidea caerulea,10842219.0,1,POINT (150.88902 -33.72843)
-33.73114,150.83816,Ranoidea caerulea,10842219.0,1,POINT (150.83816 -33.73114)
-33.702543,150.879391,Litoria verreauxii,2427755.0,1,POINT (150.879391 -33.702543)
-33.803405,150.42619,Litoria littlejohni,2427684.0,1,POINT (150.42619 -33.803405)
-33.7269,150.699,Litoria fallax,2427671.0,1,POINT (150.699 -33.7269)
-33.524299,150.624275,Crinia signifera,2424585.0,1,POINT (150.624275 -33.524299)
-33.726073,150.460245,Crinia signifera,2424585.0,1,POINT (150.460245 -33.726073)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.725967,150.460311,Crinia signifera,2424585.0,1,POINT (150.460311 -33.725967)
-33.726282,150.460713,Crinia signifera,2424585.0,1,POINT (150.460713 -33.726282)
-33.726119,150.460259,Crinia signifera,2424585.0,1,POINT (150.460259 -33.726119)
-33.757446,150.622532,Crinia signifera,2424585.0,1,POINT (150.622532 -33.757446)
-33.842383,150.607924,Uperoleia laevigata,2424630.0,1,POINT (150.607924 -33.842383)
-33.842278,150.607832,Crinia signifera,2424585.0,1,POINT (150.607832 -33.842278)
-33.746759,150.861784,Crinia signifera,2424585.0,1,POINT (150.861784 -33.746759)
-33.726282,150.460713,Limnodynastes peronii,2429583.0,1,POINT (150.460713 -33.726282)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
